ip,reason,score
1,auto-block,0.99986255
1,auto-block,0.9998435
1,auto-block,0.99996436
1,auto-block,0.99993825
1,auto-block,0.9998055
1,auto-block,0.99997187
1,auto-block,0.9999293
1,auto-block,0.9999031
1,auto-block,0.99946254
1,auto-block,0.99995625
1,auto-block,0.99987566
1,auto-block,0.99990845
1,auto-block,0.99995387
1,auto-block,0.9998659
1,auto-block,0.99993527
1,auto-block,0.99991953
1,auto-block,0.99992657
1,auto-block,0.999967
1,auto-block,0.99988294
1,auto-block,0.9999012
1,auto-block,0.99991345
1,auto-block,0.9999361
1,auto-block,0.99989367
1,auto-block,0.9999205
1,auto-block,0.99991286
1,auto-block,0.99996316
1,auto-block,0.9999474
1,auto-block,0.99985695
1,auto-block,0.9999609
1,auto-block,0.9999423
1,auto-block,0.9999701
1,auto-block,0.9999474
1,auto-block,0.99994314
1,auto-block,0.99993443
1,auto-block,0.9999422
1,auto-block,0.9999448
1,auto-block,0.99922895
1,auto-block,0.99993443
1,auto-block,0.99991846
1,auto-block,0.9999603
1,auto-block,0.9999651
1,auto-block,0.99991846
1,auto-block,0.9999502
1,auto-block,0.9998221
1,auto-block,0.99988043
1,auto-block,0.99968016
1,auto-block,0.9998336
1,auto-block,0.9996935
1,auto-block,0.99993014
1,auto-block,0.99996996
1,auto-block,0.9995778
1,auto-block,0.999969
1,auto-block,0.999874
1,auto-block,0.9991616
1,auto-block,0.9998721
1,auto-block,0.99978787
1,auto-block,0.9999665
1,auto-block,0.99868256
1,auto-block,0.99994373
1,auto-block,0.9999646
1,auto-block,0.9998368
1,auto-block,0.9999567
1,auto-block,0.9997658
1,auto-block,0.9999167
1,auto-block,0.9998338
1,auto-block,0.99993265
1,auto-block,0.99968874
1,auto-block,0.9991474
1,auto-block,0.9998946
1,auto-block,0.999785
1,auto-block,0.9998036
1,auto-block,0.9991714
1,auto-block,0.9999043
1,auto-block,0.9998759
1,auto-block,0.9999621
1,auto-block,0.99905556
1,auto-block,0.9999609
1,auto-block,0.99984527
1,auto-block,0.9999604
1,auto-block,0.9999554
1,auto-block,0.9999589
1,auto-block,0.999964
1,auto-block,0.99975365
1,auto-block,0.9999453
1,auto-block,0.9999505
1,auto-block,0.9998969
1,auto-block,0.99991107
1,auto-block,0.9999002
1,auto-block,0.9998735
1,auto-block,0.9999486
1,auto-block,0.9998354
1,auto-block,0.99994445
1,auto-block,0.9999583
1,auto-block,0.9997968
1,auto-block,0.9999274
1,auto-block,0.9999497
1,auto-block,0.99967206
1,auto-block,0.9999473
1,auto-block,0.9997569
1,auto-block,0.9999027
1,auto-block,0.99993074
1,auto-block,0.99995863
1,auto-block,0.9999516
1,auto-block,0.9998754
1,auto-block,0.99876994
1,auto-block,0.99994993
1,auto-block,0.99993324
1,auto-block,0.9998154
1,auto-block,0.99994135
1,auto-block,0.99994874
1,auto-block,0.999645
1,auto-block,0.99995816
1,auto-block,0.99994063
1,auto-block,0.99994147
1,auto-block,0.99995196
1,auto-block,0.9999505
1,auto-block,0.9997948
1,auto-block,0.99972624
1,auto-block,0.99942964
1,auto-block,0.9994886
1,auto-block,0.9999343
1,auto-block,0.9999579
1,auto-block,0.99985015
1,auto-block,0.9999558
1,auto-block,0.99995625
1,auto-block,0.9997241
1,auto-block,0.99985564
1,auto-block,0.9999558
1,auto-block,0.9999263
1,auto-block,0.99995303
1,auto-block,0.9999554
1,auto-block,0.99995327
1,auto-block,0.99994373
1,auto-block,0.9999337
1,auto-block,0.99989736
1,auto-block,0.99984527
1,auto-block,0.99995005
1,auto-block,0.99989367
1,auto-block,0.9997725
1,auto-block,0.99988484
1,auto-block,0.9997209
1,auto-block,0.9998229
1,auto-block,0.99991286
1,auto-block,0.999895
1,auto-block,0.99993896
1,auto-block,0.9999647
1,auto-block,0.99919397
1,auto-block,0.9999162
1,auto-block,0.99993706
1,auto-block,0.99993074
1,auto-block,0.9997881
1,auto-block,0.9993918
1,auto-block,0.99993896
1,auto-block,0.99995005
1,auto-block,0.9999695
1,auto-block,0.99989736
1,auto-block,0.9999044
1,auto-block,0.999877
1,auto-block,0.99994826
1,auto-block,0.99986863
1,auto-block,0.9998939
1,auto-block,0.9999062
1,auto-block,0.9998554
1,auto-block,0.99905723
1,auto-block,0.999241
1,auto-block,0.9998628
1,auto-block,0.99959546
1,auto-block,0.99975735
1,auto-block,0.99995244
1,auto-block,0.998774
1,auto-block,0.99980885
1,auto-block,0.99934274
1,auto-block,0.99768317
1,auto-block,0.9998658
1,auto-block,0.9998739
1,auto-block,0.999889
1,auto-block,0.9999527
1,auto-block,0.9996582
1,auto-block,0.9999598
1,auto-block,0.99995744
1,auto-block,0.9999052
1,auto-block,0.99994826
1,auto-block,0.99973077
1,auto-block,0.9998616
1,auto-block,0.999944
1,auto-block,0.9999529
1,auto-block,0.9987172
1,auto-block,0.9999467
1,auto-block,0.9997564
1,auto-block,0.99993384
1,auto-block,0.99963164
1,auto-block,0.99979657
1,auto-block,0.9997327
1,auto-block,0.99994135
1,auto-block,0.99993134
1,auto-block,0.9998148
1,auto-block,0.9999548
1,auto-block,0.99995553
1,auto-block,0.9999025
1,auto-block,0.99990165
1,auto-block,0.9999151
1,auto-block,0.9998778
1,auto-block,0.99996436
1,auto-block,0.9999025
1,auto-block,0.99996376
1,auto-block,0.99975985
1,auto-block,0.9999325
1,auto-block,0.99992836
1,auto-block,0.99993527
1,auto-block,0.99996185
1,auto-block,0.9998061
1,auto-block,0.99982846
1,auto-block,0.9999404
1,auto-block,0.9997261
1,auto-block,0.9975141
1,auto-block,0.9999212
1,auto-block,0.9998759
1,auto-block,0.9999448
1,auto-block,0.9999554
1,auto-block,0.9999424
1,auto-block,0.99995565
1,auto-block,0.9999516
1,auto-block,0.99978906
1,auto-block,0.9995111
1,auto-block,0.99994683
1,auto-block,0.9999335
1,auto-block,0.999959
1,auto-block,0.9989648
1,auto-block,0.9999435
1,auto-block,0.9999609
1,auto-block,0.9998883
1,auto-block,0.9999435
1,auto-block,0.9999281
1,auto-block,0.9999472
1,auto-block,0.9999523
1,auto-block,0.9999671
1,auto-block,0.9999298
1,auto-block,0.9999484
1,auto-block,0.99983346
1,auto-block,0.9999213
1,auto-block,0.99995434
1,auto-block,0.9999647
1,auto-block,0.99968123
1,auto-block,0.99965024
1,auto-block,0.99996483
1,auto-block,0.9999138
1,auto-block,0.9999553
1,auto-block,0.99970454
1,auto-block,0.9995672
1,auto-block,0.9993369
1,auto-block,0.9999033
1,auto-block,0.999938
1,auto-block,0.99956125
1,auto-block,0.9999126
1,auto-block,0.9999511
1,auto-block,0.99990916
1,auto-block,0.9996778
1,auto-block,0.99986374
1,auto-block,0.9999367
1,auto-block,0.999938
1,auto-block,0.9999615
1,auto-block,0.9998814
1,auto-block,0.99991715
1,auto-block,0.9998621
1,auto-block,0.99987936
1,auto-block,0.9999528
1,auto-block,0.9993974
1,auto-block,0.99971515
1,auto-block,0.99995744
1,auto-block,0.99996257
1,auto-block,0.9999609
1,auto-block,0.99992406
1,auto-block,0.9998714
1,auto-block,0.99994683
1,auto-block,0.99970144
1,auto-block,0.9999628
1,auto-block,0.99995553
1,auto-block,0.9998778
1,auto-block,0.999915
1,auto-block,0.99996305
1,auto-block,0.9999422
1,auto-block,0.9998055
1,auto-block,0.9996793
1,auto-block,0.99985373
1,auto-block,0.9999006
1,auto-block,0.9999634
1,auto-block,0.9998529
1,auto-block,0.99985087
1,auto-block,0.9999677
1,auto-block,0.99995005
1,auto-block,0.99992263
1,auto-block,0.9999186
1,auto-block,0.999808
1,auto-block,0.9999138
1,auto-block,0.99994135
1,auto-block,0.9997702
1,auto-block,0.9999614
1,auto-block,0.9999404
1,auto-block,0.99985063
1,auto-block,0.9999031
1,auto-block,0.999961
1,auto-block,0.9999521
1,auto-block,0.9999362
1,auto-block,0.99979573
1,auto-block,0.999961
1,auto-block,0.99996114
1,auto-block,0.9998692
1,auto-block,0.9999466
1,auto-block,0.99957365
1,auto-block,0.9998648
1,auto-block,0.99965477
1,auto-block,0.99995875
1,auto-block,0.99976426
1,auto-block,0.9999291
1,auto-block,0.99991703
1,auto-block,0.9977291
1,auto-block,0.9998933
1,auto-block,0.99994373
1,auto-block,0.99994445
1,auto-block,0.9999186
1,auto-block,0.9998776
1,auto-block,0.9999654
1,auto-block,0.99995947
1,auto-block,0.99914014
1,auto-block,0.9997148
1,auto-block,0.99990857
1,auto-block,0.9999466
1,auto-block,0.99997187
1,auto-block,0.9997553
1,auto-block,0.9999621
1,auto-block,0.9999517
1,auto-block,0.99986196
1,auto-block,0.9997651
1,auto-block,0.9998976
1,auto-block,0.9997944
1,auto-block,0.9998087
1,auto-block,0.99993074
1,auto-block,0.99993706
1,auto-block,0.99994266
1,auto-block,0.9998542
1,auto-block,0.99994826
1,auto-block,0.99977535
1,auto-block,0.9998073
1,auto-block,0.9999567
1,auto-block,0.9999411
1,auto-block,0.99993587
1,auto-block,0.9999255
1,auto-block,0.9999628
1,auto-block,0.9998161
1,auto-block,0.9991335
1,auto-block,0.9999107
1,auto-block,0.99995923
1,auto-block,0.9998616
1,auto-block,0.99995387
1,auto-block,0.999814
1,auto-block,0.99937123
1,auto-block,0.99988127
1,auto-block,0.9999367
1,auto-block,0.9998647
1,auto-block,0.9994356
