predicted_label,prediction_prob,defense_action
0,6.391874e-05,allow
0,0.0011318324,allow
0,1.213272e-05,allow
0,1.1733238e-05,allow
0,4.0776973e-05,allow
0,2.2829085e-05,allow
1,0.99986255,block_ip
0,0.00012372695,allow
1,0.9998435,block_ip
1,0.99996436,block_ip
0,4.2548796e-05,allow
1,0.99993825,block_ip
0,4.09773e-05,allow
1,0.9998055,block_ip
0,0.00082079554,allow
1,0.99997187,block_ip
0,0.00040681154,allow
1,0.9999293,block_ip
0,8.3633495e-05,allow
1,0.9999031,block_ip
0,2.5967012e-05,allow
1,0.99946254,block_ip
0,3.4705405e-05,allow
1,0.99995625,block_ip
1,0.99987566,block_ip
1,0.99990845,block_ip
1,0.99995387,block_ip
0,1.633291e-05,allow
0,0.0004515529,allow
0,3.2305477e-05,allow
0,2.3158285e-05,allow
1,0.9998659,block_ip
1,0.99993527,block_ip
0,1.18941525e-05,allow
1,0.99991953,block_ip
0,4.8217324e-05,allow
1,0.99992657,block_ip
1,0.999967,block_ip
0,1.0776938e-05,allow
1,0.99988294,block_ip
0,1.698612e-05,allow
1,0.9999012,block_ip
0,5.0011917e-05,allow
1,0.99991345,block_ip
1,0.9999361,block_ip
1,0.99989367,block_ip
1,0.9999205,block_ip
1,0.99991286,block_ip
1,0.99996316,block_ip
1,0.9999474,block_ip
0,0.0022344857,allow
1,0.99985695,block_ip
1,0.9999609,block_ip
1,0.9999423,block_ip
1,0.9999701,block_ip
0,6.3047e-05,allow
0,1.1848415e-05,allow
1,0.9999474,block_ip
0,0.0003747808,allow
1,0.99994314,block_ip
0,5.4624892e-05,allow
0,0.00047079858,allow
1,0.99993443,block_ip
0,1.4669948e-05,allow
0,6.191154e-05,allow
1,0.9999422,block_ip
1,0.9999448,block_ip
0,0.00014588455,allow
1,0.99922895,block_ip
1,0.99993443,block_ip
0,0.00011695057,allow
1,0.99991846,block_ip
1,0.9999603,block_ip
0,5.78775e-05,allow
0,0.00011736974,allow
0,2.3190994e-05,allow
1,0.9999651,block_ip
1,0.99991846,block_ip
0,4.8350394e-05,allow
1,0.9999502,block_ip
1,0.9998221,block_ip
1,0.99988043,block_ip
0,1.2085062e-05,allow
1,0.99968016,block_ip
1,0.9998336,block_ip
1,0.9996935,block_ip
0,0.00010124804,allow
0,0.00014126473,allow
1,0.99993014,block_ip
0,1.7852015e-05,allow
0,0.00017028334,allow
1,0.99996996,block_ip
1,0.9995778,block_ip
0,2.4287569e-05,allow
1,0.999969,block_ip
0,2.010713e-05,allow
