feature,shap_mean_abs
call,1.93615
txt,1.012794
now,0.48777395
free,0.45764804
to,0.44830027
claim,0.39149582
text,0.38894886
your,0.36348698
from,0.30181578
stop,0.29864636
or,0.28780156
me,0.2829605
win,0.28136697
reply,0.2793746
you,0.2164471
send,0.19173695
mobile,0.18673152
sms,0.18393731
out,0.18127596
my,0.17109957
for,0.17018825
chat,0.14011043
won,0.13747923
in,0.13725744
with,0.1330842
and,0.1293088
new,0.12786137
service,0.12656903
this,0.12575272
msg,0.11194003
but,0.10490514
ringtone,0.104686126
500,0.099252544
the,0.0924245
message,0.08711392
been,0.08181851
if,0.08039599
of,0.07379679
im,0.07376576
so,0.07361462
that,0.071443856
ur,0.070462435
it,0.069108956
have,0.06219421
cash,0.060904503
is,0.060282174
not,0.05605401
get,0.05376075
ltgt,0.052638263
all,0.05178001
customer,0.048204206
over,0.04338217
can,0.043266606
are,0.041515075
no,0.038010173
ill,0.037565194
next,0.037229262
up,0.035045788
will,0.03487628
we,0.034311872
its,0.03296446
want,0.032033764
help,0.02912796
on,0.028480038
go,0.026747175
what,0.026212148
number,0.026106255
do,0.025764247
when,0.02524523
150p,0.024565827
am,0.023473877
good,0.02318232
enjoy,0.022941561
see,0.022861548
just,0.022378182
was,0.021932218
at,0.021613374
got,0.02109308
ok,0.019948622
dont,0.018640757
time,0.017664816
need,0.017542692
orange,0.017130699
they,0.016731229
there,0.015684143
going,0.015521388
per,0.015456216
apply,0.015035712
how,0.014300538
18,0.013945021
games,0.013031936
know,0.012997826
urgent,0.012335972
voucher,0.011126547
more,0.010533456
tone,0.0104633225
real,0.010392047
then,0.010117342
as,0.009732379
uk,0.009023135
contact,0.008995303
has,0.008774269
cost,0.008402442
come,0.008220204
by,0.0072183576
him,0.0068899114
tones,0.006792504
unsubscribe,0.0065654702
pls,0.00614538
cant,0.005909083
mob,0.0051815654
sex,0.0051366114
ltd,0.004316055
about,0.0041117426
he,0.004091464
one,0.0040095192
sexy,0.0039406903
be,0.003885306
delivery,0.0037491084
hi,0.0034819555
information,0.0033750972
find,0.0031466607
oh,0.0030276452
days,0.0025333911
phone,0.0024283978
take,0.002254066
like,0.0021781125
still,0.001880897
us,0.0017421062
back,0.0016649485
work,0.0016609177
some,0.0016257459
give,0.0015988011
tell,0.0015515322
hey,0.0015239817
wap,0.0014755882
our,0.0014498598
hope,0.0014414691
which,0.0013777462
thats,0.0011340086
love,0.0007057143
day,0.0003567129
point,0.0
pobox84,0.0
pobox,0.0
pobox334,0.0
pod,0.0
pobox36504w45wq,0.0
points,0.0
020603,0.0
pounds,0.0
police,0.0
poly,0.0
princess,0.0
price,0.0
prey,0.0
pretty,0.0
press,0.0
present,0.0
prepare,0.0
pray,0.0
ppm,0.0
pple,0.0
ppl,0.0
power,0.0
pouts,0.0
pm,0.0
pound,0.0
posted,0.0
post,0.0
possible,0.0
possession,0.0
porn,0.0
popped,0.0
pop,0.0
poor,0.0
polys,0.0
polyphonic,0.0
po,0.0
pie,0.0
plz,0.0
party,0.0
password,0.0
past,0.0
pay,0.0
paying,0.0
payoh,0.0
pc,0.0
peace,0.0
people,0.0
perfect,0.0
period,0.0
person,0.0
personal,0.0
personality,0.0
persons,0.0
pete,0.0
pass,0.0
partner,0.0
philosophy,0.0
part,0.0
otherwise,0.0
outside,0.0
outstanding,0.0
outta,0.0
own,0.0
oz,0.0
pa,0.0
pack,0.0
package,0.0
page,0.0
paid,0.0
pain,0.0
paper,0.0
parents,0.0
park,0.0
pg,0.0
phne,0.0
plus,0.0
pix,0.0
place,0.0
places,0.0
plan,0.0
planned,0.0
planning,0.0
plans,0.0
play,0.0
played,0.0
player,0.0
players,0.0
playing,0.0
please,0.0
pleased,0.0
pleasure,0.0
plenty,0.0
pizza,0.0
pissed,0.0
phoenix,0.0
pin,0.0
phones,0.0
photo,0.0
photos,0.0
pic,0.0
pick,0.0
picked,0.0
picking,0.0
pics,0.0
picsfree1,0.0
picture,0.0
pictures,0.0
prize,0.0
pieces,0.0
pig,0.0
pilates,0.0
private,0.0
ptbo,0.0
prob,0.0
probably,0.0
remove,0.0
rent,0.0
rental,0.0
rentl,0.0
repair,0.0
repeat,0.0
replace,0.0
replied,0.0
replying,0.0
report,0.0
representative,0.0
request,0.0
requests,0.0
research,0.0
resend,0.0
respect,0.0
responcewhat,0.0
respond,0.0
responding,0.0
response,0.0
responsibility,0.0
reminder,0.0
remind,0.0
remembered,0.0
regards,0.0
record,0.0
records,0.0
red,0.0
reduce,0.0
ref,0.0
reference,0.0
refilled,0.0
refused,0.0
reg,0.0
register,0.0
remember,0.0
registered,0.0
regret,0.0
regular,0.0
relation,0.0
relax,0.0
released,0.0
rem,0.0
remain,0.0
remains,0.0
rest,0.0
restaurant,0.0
result,0.0
rose,0.0
rocks,0.0
rofl,0.0
roger,0.0
role,0.0
ron,0.0
room,0.0
roommate,0.0
roommates,0.0
rooms,0.0
round,0.0
roast,0.0
row,0.0
roww1j6hl,0.0
roww1jhl,0.0
royal,0.0
rply,0.0
rreveal,0.0
rs,0.0
rstm,0.0
ru,0.0
rock,0.0
roads,0.0
results,0.0
rhythm,0.0
retrieve,0.0
return,0.0
returned,0.0
returns,0.0
reveal,0.0
revealed,0.0
review,0.0
revision,0.0
reward,0.0
rice,0.0
road,0.0
rich,0.0
ride,0.0
right,0.0
rights,0.0
ring,0.0
ringtoneget,0.0
ringtones,0.0
rite,0.0
river,0.0
recession,0.0
recently,0.0
recent,0.0
queen,0.0
purpose,0.0
push,0.0
pushes,0.0
pussy,0.0
put,0.0
puttin,0.0
putting,0.0
qatar,0.0
quality,0.0
ques,0.0
purchase,0.0
question,0.0
questioned,0.0
questions,0.0
quick,0.0
quickly,0.0
quiet,0.0
quit,0.0
quite,0.0
quiz,0.0
purity,0.0
pull,0.0
quoting,0.0
promises,0.0
problem,0.0
problems,0.0
process,0.0
processed,0.0
prof,0.0
profit,0.0
project,0.0
prolly,0.0
promise,0.0
promo,0.0
public,0.0
proof,0.0
properly,0.0
prospects,0.0
proverb,0.0
provided,0.0
ps,0.0
pt2,0.0
other,0.0
pub,0.0
quote,0.0
racing,0.0
receiving,0.0
really,0.0
reaching,0.0
reaction,0.0
read,0.0
readers,0.0
reading,0.0
ready,0.0
realise,0.0
reality,0.0
realized,0.0
realy,0.0
reach,0.0
reason,0.0
reasonable,0.0
reasons,0.0
reboot,0.0
recd,0.0
receipt,0.0
receive,0.0
receivea,0.0
received,0.0
reached,0.0
re,0.0
radio,0.0
random,0.0
raed,0.0
rael,0.0
railway,0.0
rain,0.0
raining,0.0
raise,0.0
rajipls,0.0
rally,0.0
ran,0.0
randomly,0.0
rd,0.0
randy,0.0
rang,0.0
range,0.0
ranjith,0.0
rate,0.0
rates,0.0
rather,0.0
rays,0.0
rcvd,0.0
others,0.0
off,0.0
oso,0.0
lotr,0.0
mad,0.0
made,0.0
magical,0.0
mah,0.0
mail,0.0
major,0.0
make,0.0
makes,0.0
making,0.0
malaria,0.0
man,0.0
management,0.0
manda,0.0
maneesha,0.0
many,0.0
march,0.0
margaret,0.0
mark,0.0
market,0.0
macho,0.0
machan,0.0
ma,0.0
loyalty,0.0
loud,0.0
lovable,0.0
loved,0.0
lovely,0.0
lover,0.0
loverboy,0.0
loves,0.0
loving,0.0
ltdecimalgt,0.0
m8s,0.0
lttimegt,0.0
lturlgt,0.0
luck,0.0
lucky,0.0
lunch,0.0
luv,0.0
luxury,0.0
m263uz,0.0
marriage,0.0
married,0.0
marry,0.0
menu,0.0
meds,0.0
meet,0.0
meeting,0.0
meh,0.0
mei,0.0
member,0.0
members,0.0
men,0.0
merry,0.0
medical,0.0
messageits,0.0
messageno,0.0
messages,0.0
met,0.0
mid,0.0
middle,0.0
midnight,0.0
might,0.0
medicine,0.0
med,0.0
mas,0.0
max7,0.0
